track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist
Something Just Like This - Acoustic,"['Missy & Blonde', 'Julia Ross']","['2XpEZIV9uuJY6pdhKAbuBh', '6fOD5mThYrqHe1cyTrKcyu']",63,"['2XpEZIV9uuJY6pdhKAbuBh', '6fOD5mThYrqHe1cyTrKcyu']",6tmwEEqi4o7wpys88d0sqg,2017-03-17,0.608,0.307,5,-10.859,0,0.0285,0.749,0.000252,0.156,0.505,99.938,audio_features,6tmwEEqi4o7wpys88d0sqg,189794,4,17578,107,2
On A Good Day - Live At The Hollywood Bowl,['Above & Beyond'],['10gzBoINW3cLJfZUka8Zoe'],26,['10gzBoINW3cLJfZUka8Zoe'],737nSliKsqD7XmpFff8DzJ,2018-04-17,0.31,0.371,3,-11.343,0,0.0347,0.939,1.13e-05,0.903,0.302,83.052,audio_features,737nSliKsqD7XmpFff8DzJ,300893,4,695813,68,1
Recognise - Acoustic Version,"['Lost Frequencies', 'Flynn']","['7f5Zgnp2spUuuzKplmRkt7', '4yxeyorUKkW9fOOBeguEC9']",17,"['7f5Zgnp2spUuuzKplmRkt7', '4yxeyorUKkW9fOOBeguEC9']",2d8uu9ij9OZJMsyO48xziE,2019-04-26,0.737,0.591,1,-5.469,1,0.0481,0.811,0,0.114,0.657,102.86,audio_features,2d8uu9ij9OZJMsyO48xziE,169467,4,2343415,128,2
Waiting - Strings & Vocals Mix,"['Dash Berlin', 'Emma Hewitt']","['1xT5p0VBpnZDrvVSjX9sri', '1t65YxEAtU3iii6bCzSGF8']",33,"['1xT5p0VBpnZDrvVSjX9sri', '1t65YxEAtU3iii6bCzSGF8']",6ctvgLJJZQkdzch0L1dj7X,2012-11-09,0.131,0.358,9,-8.319,1,0.0328,0.725,9.19e-06,0.109,0.0693,90.71,audio_features,6ctvgLJJZQkdzch0L1dj7X,229702,4,605211,115,2
Avenue Road,['ATTLAS'],['0jM4IKp6YlTxq8tNDH9fX3'],30,['0jM4IKp6YlTxq8tNDH9fX3'],35M5jZAr2kizYaDvn4bXwx,2016-07-22,0.283,0.263,3,-15.244,1,0.0346,0.837,0.183,0.0958,0.193,80.224,audio_features,35M5jZAr2kizYaDvn4bXwx,154146,4,41898,49,1
Into The Sunset - Acoustic,['Mako'],['0Ye4nfYAA91T1X56gnlXAA'],14,['0Ye4nfYAA91T1X56gnlXAA'],2ckJlAv1EZ8JRLDE2HNv2O,2016-06-24,0.842,0.346,1,-10.16,1,0.0401,0.587,0,0.117,0.703,119.983,audio_features,2ckJlAv1EZ8JRLDE2HNv2O,181236,4,107371,69,1
"Don't Think Twice, It's All Right",['Patrick Baker'],['73PTYegu3D1i5vRERzcBhT'],30,['73PTYegu3D1i5vRERzcBhT'],2m3ouxt4GwarBCRCmwDJdO,2016-10-28,0.807,0.824,6,-4.021,0,0.0304,0.194,0.00836,0.355,0.825,105.034,audio_features,2m3ouxt4GwarBCRCmwDJdO,209774,4,5617,42,1
No Sleep - Unplugged Mix,"['Maor Levi', 'BRKLYN', 'Mariah McManus']","['7iVuXpgNEl87BwdwV1L6he', '0sSB3cIRBuBGa1UXLsQtaw', '54i4FVKUsA3SHxqfwYUlVk']",30,"['7iVuXpgNEl87BwdwV1L6he', '0sSB3cIRBuBGa1UXLsQtaw', '54i4FVKUsA3SHxqfwYUlVk']",6Wl4UTPfu7J967GhYXfsWP,2015-06-15,0.352,0.144,2,-15.901,1,0.0297,0.944,0.236,0.112,0.11,66.435,audio_features,6Wl4UTPfu7J967GhYXfsWP,222981,4,49605,124,3
Never Let You Go (feat. John Newman) - Acoustic Version,"['Kygo', 'John Newman']","['23fqKkggKUBHNkbKtXEls4', '34v5MVKeQnIo0CWYMbbrPf']",43,"['23fqKkggKUBHNkbKtXEls4', '34v5MVKeQnIo0CWYMbbrPf']",0hsEwB7RvpWOJYZnAF4j4E,2018-02-14,0.481,0.351,10,-8.416,1,0.0421,0.925,0.00735,0.112,0.189,125.13,audio_features,0hsEwB7RvpWOJYZnAF4j4E,239453,4,8560478,157,2
Sun & Moon,['Above & Beyond'],['10gzBoINW3cLJfZUka8Zoe'],0,['10gzBoINW3cLJfZUka8Zoe'],3u5DJhyNjkFCeCywlEK5JO,2014-01-14,0.493,0.404,9,-11.458,1,0.0304,0.768,2.02e-06,0.13,0.21,136.919,audio_features,3u5DJhyNjkFCeCywlEK5JO,288027,4,695813,68,1
