track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist,genre
Eazy,"['The Game', 'Kanye West']","['0NbfKEOTQCcwd6o7wSDOHI', '5K4W6rqBFWDnAN6FQUkS6x']",85,"['0NbfKEOTQCcwd6o7wSDOHI', '5K4W6rqBFWDnAN6FQUkS6x']",6Ab81Bs9fcOwaTYuBsUUpI,2022-01-15,0.716,0.551,1,-6.987,1,0.47,0.167,0,0.197,0.305,82.393,audio_features,6Ab81Bs9fcOwaTYuBsUUpI,234288,4,20274620,174,2,hiphop
Doja,"['$NOT', 'A$AP Rocky']","['5IbEL2xjRtKsunfmsahLuO', '13ubrt8QOOCPljQ2FL1Kca']",82,"['5IbEL2xjRtKsunfmsahLuO', '13ubrt8QOOCPljQ2FL1Kca']",3zpGLSQ8QbbUnNjweWPLMD,2022-02-04,0.753,0.777,11,-5.701,0,0.32,0.0725,0.000714,0.125,0.669,157.148,audio_features,3zpGLSQ8QbbUnNjweWPLMD,171453,4,11700185,168,2,hiphop
Fallin,['Lil Tecca'],['4Ga1P7PMIsmqEZqhYZQgDo'],73,['4Ga1P7PMIsmqEZqhYZQgDo'],4v3W97RqEN0kgaLAre1pbJ,2022-01-28,0.616,0.44,9,-7.913,1,0.213,0.0767,0,0.137,0.141,145.893,audio_features,4v3W97RqEN0kgaLAre1pbJ,121877,4,4841565,83,1,hiphop
Monëy so big,['Yeat'],['3qiHUAX7zY4Qnjx8TNUzVx'],85,['3qiHUAX7zY4Qnjx8TNUzVx'],7BbaIYAdi3pg4MGl6PHwPv,2021-09-10,0.693,0.575,2,-7.633,1,0.0906,0.121,0,0.104,0.353,138.016,audio_features,7BbaIYAdi3pg4MGl6PHwPv,160052,4,323006,83,1,hiphop
Thug Paradise 2,['Soldier Kidd'],['7BA072InWOjB1X7MZGOloy'],75,['7BA072InWOjB1X7MZGOloy'],1wqg2VowoogPATrqPzrpi3,2021-07-28,0.745,0.637,4,-5.912,0,0.312,0.187,0,0.114,0.424,79.946,audio_features,1wqg2VowoogPATrqPzrpi3,180002,4,113197,63,1,hiphop
MAGIC (feat. Mustard),"['Vince Staples', 'Mustard']","['68kEuyFKyqrdQQLLsmiatm', '0YinUQ50QDB7ZxSCLyQ40k']",69,"['68kEuyFKyqrdQQLLsmiatm', '0YinUQ50QDB7ZxSCLyQ40k']",5FvXe5bz4nQQ4eBaitt4EC,2022-02-14,0.743,0.578,9,-6.653,0,0.184,0.273,7.77e-05,0.13,0.292,90.021,audio_features,5FvXe5bz4nQQ4eBaitt4EC,226006,4,2456586,151,2,hiphop
Megan's Piano,['Megan Thee Stallion'],['181bsRPaVXVlUKXrxwZfHK'],81,['181bsRPaVXVlUKXrxwZfHK'],4HyVMzg0sUQsdOxRvSO8Ka,2021-10-29,0.953,0.621,11,-7.565,1,0.154,0.00799,4.87e-06,0.307,0.378,132.063,audio_features,4HyVMzg0sUQsdOxRvSO8Ka,113430,4,6036030,86,1,hiphop
Get Into It (Yuh),['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],88,['5cj0lLjcoR7YOSnhnX0Po5'],0W6I02J9xcqK8MtSeosEXb,2021-06-25,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0W6I02J9xcqK8MtSeosEXb,138293,4,15879121,94,1,hiphop
Sneaky Link Shemix,"['Kayla Nicole', 'Queen Key']","['0jL5A3JBu46MsYrr5JMPuT', '3IhYHKVt0Q9vxCCwiCHahR']",63,"['0jL5A3JBu46MsYrr5JMPuT', '3IhYHKVt0Q9vxCCwiCHahR']",2tc16SiowJOcfHRHBwH9F1,2022-02-04,0.798,0.599,5,-7.359,1,0.613,0.111,0,0.0658,0.386,77.04,audio_features,2tc16SiowJOcfHRHBwH9F1,98795,4,357128,115,2,hiphop
Sl*t Him Out,['Baby Tate'],['3IJ21966TwNZI24MwZHMu4'],56,['3IJ21966TwNZI24MwZHMu4'],03AgMO71u7FXf2SV32oP76,2022-02-18,0.935,0.615,2,-5.732,1,0.253,0.124,0,0.101,0.391,94.972,audio_features,03AgMO71u7FXf2SV32oP76,172249,4,159330,71,1,hiphop
